,dates,opens,highs,lows,closes,volumes,market_caps,smas_10,smas_20,smas_30
269,2019-05-16,248.06000000,279.76000000,241.76000000,264.25000000,1733360.89360000,1733360.89360000,22.54,21.5195,20.9373
270,2019-05-15,216.40000000,250.27000000,216.21000000,248.10000000,574697.29927000,574697.29927000,22.442,21.3975,20.8117
271,2019-05-14,195.83000000,219.81000000,194.19000000,216.40000000,864211.00603000,864211.00603000,22.428,21.282,20.703
272,2019-05-13,188.07000000,206.87000000,185.32000000,195.84000000,669265.46524000,669265.46524000,22.29,21.1645,20.599
273,2019-05-12,190.20000000,204.32000000,181.00000000,188.11000000,823372.28148000,823372.28148000,0.0,0.0,0.0
274,2019-05-11,172.92000000,205.23000000,172.92000000,190.20000000,885292.38389000,885292.38389000,0.0,0.0,0.0
275,2019-05-10,170.96000000,176.70000000,168.46000000,172.91000000,425543.74021000,425543.74021000,22.046,21.0525,20.495
276,2019-05-09,170.88000000,173.88000000,166.57000000,170.90000000,284663.99456000,284663.99456000,21.753,20.906,20.3863
277,2019-05-08,169.07000000,173.17000000,164.80000000,170.85000000,296410.76103000,296410.76103000,21.534,20.7525,20.2813
278,2019-05-07,172.98000000,182.76000000,167.89000000,169.18000000,732496.87861000,732496.87861000,21.271,20.6085,20.1687
279,2019-05-06,163.05000000,178.05000000,157.55000000,173.00000000,506528.14278000,506528.14278000,20.935,20.434,20.018
280,2019-05-05,163.71000000,165.36000000,159.18000000,163.05000000,176029.10445000,176029.10445000,0.0,0.0,0.0
281,2019-05-04,168.10000000,171.30000000,159.76000000,163.70000000,312928.58349000,312928.58349000,0.0,0.0,0.0
282,2019-05-03,161.82000000,170.86000000,160.99000000,168.06000000,416357.52123000,416357.52123000,20.714,20.3015,19.9113
283,2019-05-02,160.20000000,163.48000000,158.50000000,161.81000000,289519.02025000,289519.02025000,20.499,20.136,19.7947
284,2019-05-01,161.85000000,163.88000000,158.36000000,160.19000000,192517.62763000,192517.62763000,20.353,19.9965,19.7107
285,2019-04-30,155.14000000,162.89000000,155.11000000,161.83000000,305056.24653000,305056.24653000,20.136,19.8405,19.616
286,2019-04-29,157.86000000,159.05000000,152.00000000,155.11000000,243591.94898000,243591.94898000,20.039,19.7535,19.5557
287,2019-04-28,159.32000000,160.24000000,156.92000000,157.85000000,152976.30181000,152976.30181000,0.0,0.0,0.0
288,2019-04-27,157.93000000,166.24000000,156.35000000,159.31000000,215918.63842000,215918.63842000,0.0,0.0,0.0
289,2019-04-26,154.70000000,162.56000000,151.40000000,157.95000000,500355.86283000,500355.86283000,20.059,19.7195,19.5163
